Comment,Designator,Quantity,Supplier Part Number 1

"Capacitor","C1A, C1B, C4A, C4B","4","490-18214-1-ND"
"Capacitor","C2A, C2B, C3A, C3B, C5A, C5B, C9A, C9B","8","1292-1390-1-ND"
"Capacitor","C6A, C6B, C8A, C8B","4","399-8985-1-ND"
"Capacitor","C7A, C7B","2","399-9087-1-ND"
"L17H2220131","CON1","1","L17H2220131-ND"
"ICD15S13E6GX00LF","CON2","1","609-2801-ND"
"ScrewTerminal_1x2","CON3A, CON3B, CON4A, CON4B","4","277-1667-ND"
"BK1608LM182-T","E1A, E1B, E2A, E2B","4","587-1892-1-ND"
"Jumper2","JP1","1","732-5315-ND"
"Resistor","R1","1","P0.0GDKR-ND"
"Resistor","R2A, R2B, R4A, R4B","4","311-120HRCT-ND"
"Resistor","R3A, R3B, R5A, R5B","4","541-5507-1-ND"
"Resistor","R6A, R6B","2","541-47.0KHCT-ND"
"Screw-4-40","SCREW1, SCREW2, SCREW3, SCREW4","4","KEY1046-ND"
"Standoff-4-40","STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4","4","36-1656-ND"
"ADM3057EBRWZ","U1A, U1B","2","ADM3057EBRWZ-ND"
"ST490ABDR","U2A, U2B","2","497-2091-1-ND"
