Description,Designator,LibRef,Quantity,Supplier Part Number 1
,,,,
Capacitor,"C1, C2",Capacitor,6,1276-1044-1-ND
Capacitor,C3,Capacitor,3,1276-1182-1-ND
Capacitor,C4,Capacitor,3,1276-1012-1-ND
CONN D-SUB RCPT 15POS R/A SOLDER,CON1,A-DF 15 A/KG-T2S,3,AE10929-ND
,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED,24,SML-D12U1WT86CT-ND
CONN BNC JACK STR 50 OHM PCB,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",5-1634503-1,24,A97581-ND
Resistor,"R1, R2, R3, R4, R5, R6, R7, R8",Resistor,24,311-4.7KGRCT-ND
IC VREF SERIES 4.096V SOT23-5,U1,LM4132CMF-4.1/NOPB,3,LM4132CMF-4.1/NOPBCT-ND
IC DAC 12BIT 8CH RR OUT 16TSSOP,U2,DAC128S085CIMT/NOPB,3,DAC128S085CIMT/NOPB-ND
