Quantity,Supplier Part Number 1,Designator,Value,Comment,Supplier Subtotal 1

"8","WM5517-ND","J1, J2, J3, J4, J5, J6, J7, J8","","0731711900",""
"1","ADUM130E1BRWZ-ND","U12","","ADUM130E1BRWZ",""
"12","311-4066-1-ND","C14, C15, C16, C17, C21, C22, C23, C24, C25, C26, C27, C28","0.18uF","CC0603KRX7R7BB184",""
"20","311-1341-1-ND","C1, C2, C11, C12, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44","0.1uF","CC0603KRX7R8BB104",""
"8","311-1085-1-ND","C45, C46, C47, C48, C49, C50, C51, C52","10nF","CC0603KRX7R9BB103",""
"8","1276-1182-1-ND","C4, C5, C6, C7, C10, C18, C19, C20","1uF","CL10A105KP8NNNC",""
"4","1276-1900-1-ND","C3, C8, C9, C13","4.7uF","CL10A475KA8NQNC",""
"1","296-52288-1-ND","U18","","DAC60508MCRTET",""
"8","P20086CT-ND","R7, R9, R17, R23, R25, R31, R33, R45","10K","ERJ-PB3B1002V",""
"8","P20138CT-ND","R12, R14, R20, R22, R28, R30, R36, R38","30K","ERJ-PB3B3002V",""
"8","P20072CT-ND","R11, R13, R19, R21, R27, R29, R35, R37","7.5K","ERJ-PB3B7501V",""
"1","553-1536-1-ND","T1","","HX1188NLT",""
"1","609-2801-ND","CON1","","ICD15S13E6GX00LF",""
"5","S9337-ND","JMP1, JMP2, JMP3, JMP4, JMP5","","JMP_SHORT",""
"1","LTC6820IMS#TRPBFCT-ND","U1","","LTC6820IMS#TRPBF",""
"1","MC78M05CDTRKGOSCT-ND","U16","","MC78M05CDTRKG",""
"1","MC78M12BDTRKGOSCT-ND","U13","","MC78M12BDTRKG",""
"1","MC79M12CDTRKGOSCT-ND","U14","","MC79M12CDTRKG",""
"4","","MH1, MH2, MH3, MH4","","MOUNT_HOLE",""
"8","296-42105-1-ND","U2, U3, U4, U5, U6, U7, U8, U9","","OPA192IDBVR",""
"1","102-3328-1-ND","U17","","PES1-S5-D15-M-TR",""
"1","102-2980-1-ND","U15","","PES1-S5-S9-M-TR",""
"1","PTS647SK38SMTR2LFSCT-ND","S1","","PTS 647 SK38 SMTR2 LFS",""
"1","311-1.20KHRCT-ND","R5","1.2K","RC0603FR-071K2L",""
"2","311-2.80KHRCT-ND","R2, R4","2.8K","RC0603FR-072K8L",""
"9","311-120HRCT-ND","R3, R6, R8, R10, R16, R18, R24, R26, R32","120","RC0603FR-07120RL",""
"1","","R1","DNP","Resistor",""
"1","YAG2321CT-ND","R15","10K","RT0603FRE0710KL",""
"2","1655-1983-1-ND","U10, U11","","SMDB12CTR",""
"5","SAM8995-ND","JP1, JP2, JP3, JP4, JP5","","TSW-103-07-F-S",""
