Quantity,Designator,Value,Comment,Supplier Part Number 1,Supplier Order Qty 1

"2","C1, C2","1uF","CL10A105KP8NNWC","1276-1863-1-ND","2"
"4","C7A, C7B, C9A, C9B","1pF","CC0603BRNPO9BN1R0","311-3346-1-ND","4"
"4","C8A, C8B, C10A, C10B","16pF","CC0603JRNPO9BN160","311-3964-1-ND","4"
"14","C11, C12, C13, C14, C15, C16, C17A, C17B, C18A, C18B, C19, C20, C21, C22","0.1uF","CC0603KRX7R8BB104","311-1341-1-ND","14"
"1","CON1","","ICD15S13E6GX00LF","609-2801-ND","1"
"1","CON2","","381-009-112L565","NOR1136-ND","1"
"1","CON3","","1862291","277-12141-ND","1"
"16","R7A, R7B, R8A, R8B, R9A, R9B, R11A, R11B, R12A, R12B, R13A, R13B, R14A, R14B, R16A, R16B","10K","RT0603DRE0710KL","YAG2318CT-ND","16"
"4","R10A, R10B, R15A, R15B","25K","CPF-A-0805B25KE","1712-CPF-A-0805B25KECT-ND","4"
"30","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23A, TP23B, TP24A, TP24B, TP25A, TP25B, TP26A, TP26B","","RCU-0C","A106145CT-ND","30"
"1","U1","","TLV75533PDBVR","296-50411-1-ND","1"
"4","U2A, U2B, U3A, U3B","","74LVC2G14GW-Q100H","1727-2072-1-ND","4"
"4","U4, U6, U8, U9","","SN74LVC1T45DBVR","296-16843-1-ND","4"
"1","U5","","UA9638CDR","296-15058-1-ND","1"
"1","U7","","UA9637ACDR","296-15056-1-ND","1"
