RefDes,Name,Value,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Quantity,Description,Comments
J2,,,TE Connectivity AMP Connectors,216811-1,A123145-ND,3,CONN MOD JACK 8P8C SHIELDED,
U1,,,Maxim Integrated,MAX5054-57,"MAX5054AATA/V+T-ND	",6,"IC GATE DRVR LOW-SIDE 8TDFN	",
U01,,,Texas Instruments,INA143UAG4,INA143UAG4-ND,3,IC OPAMP DIFF 150KHZ 8SOIC,
J5,,,METZ CONNECT USA Inc.,31169103,1849-1358-ND,2,"SCREW TYPE, TERMINAL BLOCK, VERT",
J7,,,MPD (Memory Protection Devices),EJ503A,EJ503A-ND,1,CONN PWR JACK 2.1X5.5MM SOLDER,
NA7,,,"NTE Electronics, Inc",57-12D-1000-1,2368-57-12D-1000-1-ND,1,AC-DC 12V 1A 2.1MM JACK,
R7,,0.4 ohm,Ohmite,43JR40E,2485-43JR40E-ND,3,RES 0.4 OHM 3W 5% AXIAL,
L4,,320uh 5a,ATCA-05-321M-H,Abracon LLC,ATCA-05-321M-H-ND,3,FIXED IND 320UH 5A 68 MOHM TH,
C5,,0.1uf,Panasonic Electronic Components,ECQ-E2105KB3,ECQ-E2105KB3-ND,6,CAP FILM 1UF 10% 250VDC RADIAL,
C14,,500mf,Vishay Sprague,TVA1162,TVA1162-ND,1,CAP ALUM 500UF 16V AXIAL,
R1,,1 ohm 1,Stackpole Electronics Inc.,CSR0402FK1R00,,1,RES SMD 1 OHM 1% 1/8W 0402,
C,,1nF,KEMET,C0603C102K4RECAUTO,399-17878-1-ND,1,1000pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric),
R12,,1 ohm,,,,6,,
Diode,,,Toshiba Semiconductors,"DF2S14P2CTC,L3F",DF2S14P2CTCL3FDKR-ND - Digi-Reel,6,,
C7,,1uF,Panasonic Electronic Components,ECQ-E2105KB3,ECQ-E2105KB3-ND,6,CAP FILM 1UF 10% 250VDC RADIAL,
